epoch,lr,train_loss,train_acc,val_loss,val_acc,best_acc,time_sec
94,0.05683000,0.199490,93.112,0.379652,87.600,88.950,23.7
95,0.05603123,0.199096,93.150,0.343259,89.350,89.350,21.8
96,0.05523090,0.198136,93.282,0.366595,88.080,89.350,22.4
97,0.05442921,0.197623,93.146,0.343194,88.490,89.350,20.9
98,0.05362638,0.192910,93.434,0.304707,90.100,90.100,22.4
99,0.05282260,0.192576,93.358,0.336662,89.080,90.100,21.6
100,0.05201810,0.186595,93.648,0.345260,88.700,90.100,21.9
101,0.05121307,0.184017,93.904,0.324051,89.130,90.100,22.1
102,0.05040772,0.181198,93.748,0.336802,89.070,90.100,19.9
103,0.04960228,0.179599,93.888,0.323258,89.790,90.100,19.9
104,0.04879693,0.177331,93.920,0.372093,88.390,90.100,19.3
105,0.04799190,0.179079,93.966,0.354229,88.580,90.100,19.2
106,0.04718740,0.175372,94.010,0.297094,90.160,90.160,20.0
107,0.04638362,0.171932,94.174,0.335709,89.600,90.160,18.6
108,0.04558079,0.167635,94.252,0.382891,87.990,90.160,18.2
109,0.04477910,0.162036,94.444,0.322631,89.490,90.160,18.5
110,0.04397877,0.165137,94.316,0.280403,90.980,90.980,18.7
111,0.04318000,0.157248,94.700,0.370985,88.670,90.980,18.7
112,0.04238301,0.162084,94.438,0.297876,90.270,90.980,18.1
113,0.04158799,0.153257,94.866,0.391601,88.380,90.980,18.0
114,0.04079516,0.154270,94.820,0.349211,89.250,90.980,21.7
115,0.04000472,0.145607,95.026,0.342163,89.160,90.980,21.8
116,0.03921687,0.148270,94.976,0.330704,89.310,90.980,22.0
117,0.03843182,0.142099,95.186,0.299676,90.900,90.980,20.6
118,0.03764978,0.144703,95.070,0.370812,88.450,90.980,19.9
119,0.03687094,0.132299,95.592,0.345542,89.730,90.980,19.8
120,0.03609552,0.137377,95.278,0.282089,91.000,91.000,20.7
121,0.03532370,0.130172,95.578,0.296980,90.690,91.000,20.5
122,0.03455570,0.127454,95.666,0.322116,90.330,91.000,18.4
123,0.03379170,0.125478,95.698,0.304066,90.730,91.000,18.4
124,0.03303191,0.122840,95.828,0.335126,89.710,91.000,18.8
125,0.03227653,0.122264,95.772,0.278708,91.280,91.280,18.6
126,0.03152575,0.118110,95.994,0.305179,91.060,91.280,17.8
127,0.03077976,0.117816,96.016,0.375941,88.850,91.280,18.3
128,0.03003877,0.118122,95.966,0.311108,90.650,91.280,18.6
129,0.02930295,0.112354,96.176,0.275159,91.630,91.630,17.4
130,0.02857252,0.107665,96.280,0.303601,90.980,91.630,17.9
131,0.02784764,0.106282,96.354,0.271597,91.730,91.730,17.9
132,0.02712851,0.101429,96.618,0.281461,91.260,91.730,17.7
133,0.02641532,0.097882,96.680,0.358286,89.300,91.730,18.6
134,0.02570826,0.098902,96.614,0.273174,91.670,91.730,18.1
135,0.02500750,0.092932,96.856,0.349290,89.570,91.730,18.0
136,0.02431323,0.091924,96.912,0.290269,91.290,91.730,17.9
137,0.02362563,0.089678,96.964,0.281799,91.360,91.730,17.6
138,0.02294487,0.080788,97.316,0.305967,91.210,91.730,17.4
139,0.02227114,0.081996,97.268,0.282250,91.640,91.730,17.7
140,0.02160460,0.078540,97.370,0.296151,91.370,91.730,18.0
141,0.02094544,0.079066,97.362,0.272133,91.720,91.730,17.9
142,0.02029382,0.069596,97.680,0.331190,90.900,91.730,17.2
143,0.01964991,0.074213,97.500,0.299377,91.620,91.730,17.6
144,0.01901388,0.069101,97.638,0.304510,91.370,91.730,17.9
145,0.01838589,0.068602,97.702,0.311099,91.090,91.730,17.7
146,0.01776611,0.065523,97.866,0.249491,92.750,92.750,17.6
147,0.01715470,0.061860,97.900,0.249793,92.630,92.750,16.6
148,0.01655182,0.058404,98.080,0.299801,91.690,92.750,17.4
149,0.01595761,0.049132,98.330,0.268818,92.340,92.750,18.0
150,0.01537225,0.049837,98.360,0.295189,91.910,92.750,17.1
151,0.01479587,0.048116,98.434,0.251536,92.830,92.830,17.6
152,0.01422863,0.047080,98.454,0.249898,92.850,92.850,18.0
153,0.01367068,0.040348,98.722,0.250384,93.200,93.200,18.0
154,0.01312215,0.040663,98.700,0.245869,93.120,93.200,19.9
155,0.01258321,0.038641,98.716,0.256929,92.880,93.200,20.3
156,0.01205397,0.037561,98.750,0.239320,93.340,93.340,18.8
157,0.01153458,0.033425,98.928,0.237474,93.410,93.410,20.0
158,0.01102518,0.029442,99.024,0.241179,93.490,93.490,20.9
159,0.01052590,0.032769,98.962,0.216154,94.020,94.020,19.8
160,0.01003686,0.026384,99.180,0.227316,94.010,94.020,20.0
161,0.00955820,0.022566,99.290,0.243549,93.790,94.020,18.5
162,0.00909003,0.021789,99.304,0.222145,94.070,94.070,20.6
163,0.00863248,0.019138,99.418,0.235721,93.750,94.070,18.5
164,0.00818568,0.015374,99.556,0.219680,94.230,94.230,18.6
